[APPLY] scanning...

  OK index.md
  OK log.md
  OK tag-index.md
  OK comparisons/企业出海用工环境区域对比.md
  OK comparisons/企业培训体系方法论对比.md
  OK comparisons/出海跨文化培训需求区域对比.md
  OK comparisons/央企出海外语培训模式对比.md
  OK concepts/Act-Note-System.md
  OK concepts/act.md
  OK concepts/ai-in-learning-development-framework.md
  OK concepts/ai.md
  OK concepts/central-asia-enterprise-overseas-ladder-model.md
  OK concepts/central-soe-international-talent-policy-framework.md
  OK concepts/communication-full-stack.md
  OK concepts/corporate-training-industry-trends-methodology.md
  OK concepts/counterintuitive-decision-making-methodology.md
  OK concepts/cross-cultural-communication-four-stage-model.md
  OK concepts/cross-cultural-communication-full-stack.md
  OK concepts/cross-cultural-communication-os-model.md
  OK concepts/cross-cultural-communication-three-stage-model.md
  OK concepts/cross-cultural-negotiation-trust.md
  OK concepts/cross-region-investment-entry-guide.md
  OK concepts/cross-region-training-demand-matrix.md
  OK concepts/cultural-bridge-person.md
  OK concepts/deep-extraction-methodology.md
  OK concepts/effective-presenter-formula.md
  OK concepts/engineering-words-clear-workplace-communication.md
  OK concepts/enterprise-negotiation-capability-framework.md
  OK concepts/epc.md
  OK concepts/four-step-people-reading.md
  OK concepts/franchisee-selection-funnel.md
  OK concepts/global-headquarters-synergy-model.md
  OK concepts/global-operation-strategy-framework.md
  OK concepts/how-to-talk-to-anyone-about-any-topic.md
  OK concepts/hw-pm-way.md
  OK concepts/iai-hidden-barriers-framework.md
  OK concepts/industry-talent-training-case-collection.md
  OK concepts/intel-verification-system.md
  OK concepts/Intelligence-collection-pipeline.md
  OK concepts/international-engineering-capability-model.md
  OK concepts/international-engineering-talent-framework.md
  OK concepts/international-talent-trends-training-framework.md
  OK concepts/knowledge-base-ai-rollout.md
  OK concepts/knowledge-management-tool-division-philosophy.md
  OK concepts/knowledge-shrimp.md
  OK concepts/latin-america-cross-cultural-distortion-model.md
  OK concepts/learning-books-collection.md
  OK concepts/localization-complete-vs-hybrid.md
  OK concepts/localization-responsibility-matrix.md
  OK concepts/mcdonalds-hamburger-university-training-system.md
  OK concepts/morgan-training-methodology-framework.md
  OK concepts/multinational-organization-language-os-model.md
  OK concepts/od-seven-abilities.md
  OK concepts/opencli-signal-pipeline.md
  OK concepts/overseas-enterprise-trust-structure.md
  OK concepts/overseas-hr-management-panorama.md
  OK concepts/overseas-hr-service-guide-2026.md
  OK concepts/overseas-pitfall-avoidance-eight-traps.md
  OK concepts/overseas-practice-cross-cultural-training-philosophy.md
  OK concepts/project-background-analysis-sop.md
  OK concepts/project-meeting-facilitator.md
  OK concepts/project-proposal-format-guide.md
  OK concepts/sdbe-leading-model.md
  OK concepts/signal-daily-clam.md
  OK concepts/signal-trends-summary-2026-05.md
  OK concepts/singapore-enterprise-entry-compliance-guide.md
  OK concepts/situational-crisis-communication-theory.md
  OK concepts/small-talk-mastery.md
  OK concepts/social-style-matrix.md
  OK concepts/soe-overseas-talent-competency-model.md
  OK concepts/soe-report-insights.md
  OK concepts/soe-training-program-system.md
  OK concepts/structured-expression-confidence-training.md
  OK concepts/structured-strategic-thinking.md
  OK concepts/three-tier-training-model.md
  OK concepts/training-evaluation-framework.md
  OK concepts/training-program-design-framework.md
  OK concepts/training-program-design-methodology.md
  OK concepts/translation-as-communication-amplifier.md
  OK concepts/ttt-trainer-development.md
  OK concepts/ttt-trainer-training-system.md
  OK concepts/workplace-communication-multicultural-wellbeing.md
  OK concepts/workplace-communication-skills.md
  OK concepts/信息情报收集链路思路.md
  OK concepts/客户痛点归纳与课程大纲合并方案.md
  OK entities/2025-2026-1.md
  OK entities/2025-2026-2.md
  OK entities/2025-31.md
  OK entities/2025.md
  OK entities/2026-05-07.md
  OK entities/2026.md
  OK entities/2026ai.md
  OK entities/21.md
  OK entities/ai-training-summary.md
  OK entities/ai.md
  OK entities/articles-misc-collection.md
  OK entities/cases.md
  OK entities/confidence-triangle.md
  OK entities/cross-cultural-rise-framework.md
  OK entities/customer-insight-library.md
  OK entities/epc.md
  OK entities/equal-ocean-talent-insight.md
  OK entities/esg.md
  OK entities/focallure.md
  OK entities/heric-ai-hr-training.md
  OK entities/heric-corporate-training-system.md
  OK entities/heric-global-organization-management.md
  OK entities/heric-international-talent-development.md
  OK entities/HR-1+N模式.md
  OK entities/industry-function-insights.md
  OK entities/international-observation-academic-reference.md
  OK entities/international-talent-market-report.md
  OK entities/manufacturing-overseas-talent-path.md
  OK entities/mckinsey-structured-thinking.md
  OK entities/mercer-hrbp-framework.md
  OK entities/od-td-ld-1.md
  OK entities/od-td-ld-2.md
  OK entities/one-minute-people-reading.md
  OK entities/openai.md
  OK entities/organization-development-od.md
  OK entities/overseas-industry-function-research-library.md
  OK entities/overseas-investment-case-extraction.md
  OK entities/overseas-investment-cases.md
  OK entities/overseas-research-reports-library.md
  OK entities/overseas-talent-selection-development-system.md
  OK entities/prep-model.md
  OK entities/research-reports-training-app.md
  OK entities/tisax.md
  OK entities/united-imaging.md
  OK entities/white-rhino-autonomous-driving.md
  OK entities/书籍萃取/8-books-communication-extraction.md
  OK entities/书籍萃取/8-books-communication-training.md
  OK entities/书籍萃取/cross-material-synthesis.md
  OK entities/书籍萃取/deep-learning-cross-synthesis.md
  OK entities/书籍萃取/two-books-synthesis-huawei-and-crisis.md
  OK entities/书籍萃取/two-books-synthesis-training.md
  OK entities/人物/dachuangyejia-mcdonald-philosophy.md
  OK entities/人物/ray-kroc.md
  OK entities/其他/doc-001da296.md
  OK entities/其他/doc-02acb687.md
  OK entities/其他/doc-19ada4a3.md
  OK entities/其他/doc-1a5f862d.md
  OK entities/其他/doc-1edf0dc1.md
  OK entities/其他/doc-24e3d033.md
  OK entities/其他/doc-273dd2c7.md
  OK entities/其他/doc-2bcde04e.md
  OK entities/其他/doc-30efa289.md
  OK entities/其他/doc-333510f7.md
  OK entities/其他/doc-367f3cc3.md
  OK entities/其他/doc-495a6059.md
  OK entities/其他/doc-5370d902.md
  OK entities/其他/doc-72107ee1.md
  OK entities/其他/doc-83c8b247.md
  OK entities/其他/doc-90ed1176.md
  OK entities/其他/doc-94a1b66b.md
  OK entities/其他/doc-98c204f9.md
  OK entities/其他/doc-a5cd617f.md
  OK entities/其他/doc-b27cda7e.md
  OK entities/其他/doc-be974a29.md
  OK entities/其他/doc-bfc1e063.md
  OK entities/其他/doc-c6ab73fb.md
  OK entities/其他/doc-ca200637.md
  OK entities/其他/doc-ca42290c.md
  OK entities/其他/doc-cfa52138.md
  OK entities/其他/doc-d88fc6c6.md
  OK entities/其他/doc-ed24c1e3.md
  OK entities/其他/doc-f00159c5.md
  OK entities/其他/doc-f7898ed5.md
  OK entities/其他/doc-f862e94d.md
  OK entities/区域/region-labor-africa.md
  OK entities/区域/region-labor-europe.md
  OK entities/区域/region-labor-mideast.md
  OK entities/区域/region-labor-namerica.md
  OK entities/区域/region-labor-samerica.md
  OK entities/区域/region-labor-sea.md
  OK entities/区域/region-market-brazil.md
  OK entities/区域/region-market-europe-overview.md
  OK entities/区域/region-market-indonesia.md
  OK entities/区域/region-market-mexico.md
  OK entities/区域/region-market-saudi.md
  OK entities/区域/region-market-singapore.md
  OK entities/区域/region-market-thailand-market.md
  OK entities/区域/region-market-uae.md
  OK entities/区域/region-market-vietnam.md
  OK entities/区域/southeast-asia-region-market.md
  OK entities/区域/southeast-asia-research-index.md
  OK entities/区域/tax-guide-sea-indonesia.md
  OK entities/区域/tax-guide-sea-thailand.md
  OK entities/区域/tax-guide-sea-vietnam.md
  OK entities/工具/plaud-ai-recorder.md
  OK entities/工具/tools-collection.md
  OK entities/工具/tools-overseas-guide-index.md
  OK entities/报告/report-country-risk-rating.md
  OK entities/报告/report-sf-overseas-hr-2026.md
  OK entities/案例/case-africa-language-strategy-transsion.md
  OK entities/案例/case-alipay-australia-cross-cultural.md
  OK entities/案例/case-angola-refinery-english-training.md
  OK entities/案例/case-anhui-epdi-2025-business-english-training.md
  OK entities/案例/case-anyuan-business-english-training.md
  OK entities/案例/case-baic-overseas-staff-training.md
  OK entities/案例/case-baic-youth-business-english.md
  OK entities/案例/case-byd-talent-strategy-2025.md
  OK entities/案例/case-byd-talent-strategy.md
  OK entities/案例/case-ccc-sixteen-international-english-training.md
  OK entities/案例/case-cccc-11th-business-english-competition.md
  OK entities/案例/case-cccc-3rd-overseas-business-training-camp.md
  OK entities/案例/case-cccc-5th-engineering-english-training.md
  OK entities/案例/case-cccc-architecture-zhuhai-talent-training.md
  OK entities/案例/case-cccc-business-english-competition.md
  OK entities/案例/case-cccc-fourth-harbor-business-english.md
  OK entities/案例/case-cccc-international-tech-leaders-english.md
  OK entities/案例/case-cccc-new-employee-orientation.md
  OK entities/案例/case-cccc-overseas-market-development.md
  OK entities/案例/case-cccc-overseas-project-english-training-graduation.md
  OK entities/案例/case-cccc-overseas-talent-training.md
  OK entities/案例/case-cccc-overseas-team-english-training-complete.md
  OK entities/案例/case-cccc-sdc-english-club-presentation.md
  OK entities/案例/case-cccc-tech-leader-english-training.md
  OK entities/案例/case-cccc-tianhe-business-english.md
  OK entities/案例/case-ceec-hunan-business-english.md
  OK entities/案例/case-ceec-north-china-advanced-english.md
  OK entities/案例/case-ceec-overseas-leadership-training.md
  OK entities/案例/case-ceec-southwest-institute-english-training.md
  OK entities/案例/case-ceic-overseas-market-capability.md
  OK entities/案例/case-chalco-english-oral-training.md
  OK entities/案例/case-chalco-english-speaking-training.md
